	             1.55000	             0.00010
	             1.80000	             0.00200
	             1.90000	             0.00500
	             2.00000	             0.01000
	             2.05000	             0.01700
	             2.16000	             0.03000
	             2.19000	             0.04000
	             2.23000	             0.05000
	             2.27000	             0.06000
	             2.32000	             0.07000
	             2.36000	             0.08000
	             2.41000	             0.09000
	             2.46000	             0.10000
	             2.50000	             0.11000
	             2.56000	             0.13000
	             2.61000	             0.15000
	             2.67000	             0.16000
	             2.72000	             0.18000
	             2.79000	             0.19000
	             2.85000	             0.20000
	             2.92000	             0.21000
	             2.99000	             0.22000
	             3.06000	             0.22000
	             3.14000	             0.23000
	             3.22000	             0.24000
	             3.31000	             0.24000
	             3.40000	             0.24000
	             3.49000	             0.23000
	             3.59000	             0.22000
	             3.70000	             0.21000
	             3.81000	             0.17000
	             3.94000	             0.14000
	             4.07000	             0.09000
	             4.10000	             0.03500
	             4.40000	             0.00500
	             5.00000	             0.00100
	             6.20000	             0.00010
		     10.33                   0.00000
		     15.5                    0.00000
